"","Sub_region","HAB","mod","jday","mDIC_mn","mDIC_se","mOmA_mn","mOmA_se","mPAR8_mn","mPAR8_se","mPARm_mn","mPARm_se","mTA_mn","mTA_se","mTemp_mn","mTemp_se","Perturbation"
"1754","UK","AL",2,29,2095.83784134446,8.38858500791308,3.56528323385433,0.0278649038304491,27.8873000621796,0.910843916627259,29.911500120163,0.900405217077666,2413.65758627575,5.92770184009259,23.58022125,0.368704703027905,"Double Cover"
"1755","UK","AL",2,36,2104.91693011942,12.3461156856476,3.54485430589944,0.0422810097758368,29.1128000640869,0.759095955313282,31.8289602661133,1.03210205175573,2422.7601883441,8.3705247308464,22.46442,0.427826800742232,"Double Cover"
"1756","UK","AL",2,43,2073.5826974837,9.71263555418528,3.69004577488078,0.0464125892512131,33.2516802978516,1.16568452982366,36.9664003753662,1.53545273676708,2405.74748128516,5.72103710548751,23.43602,0.213373988027282,"Double Cover"
"1757","UK","AL",2,50,2067.48418078091,7.39957002209581,3.73142575874597,0.0366460809443975,36.2077062270221,1.21104528299198,38.6271178862628,1.22380873790734,2403.31569570873,4.27157461246121,23.7548676470588,0.183245558329324,"Double Cover"
"1758","UK","AL",2,57,2067.14337547878,7.61920804769527,3.73520302661763,0.0375727190193854,36.3707882274281,1.2369466933798,38.8557578000155,1.23926231802172,2403.30850367691,4.40303208778141,23.7717424242424,0.188082595091442,"Double Cover"
"1759","UK","AL",2,64,2049.58592583025,5.71532219939681,3.84470296978808,0.0348234430866917,41.5277900695801,0.959386362871961,43.7787371183696,0.83175277883769,2396.10970553188,2.65285624525463,24.1615789473684,0.175878351030881,"Double Cover"
"1760","UK","AL",2,71,2034.94198578412,4.62304584616192,3.92358064554696,0.0230545551701755,47.1180871051291,1.0948928186325,48.3394782024881,1.0199060349171,2389.01191870519,2.62892287563351,24.576747826087,0.115208576424679,"Double Cover"
"1761","UK","AL",2,78,2034.94198578412,4.62304584616192,3.92358064554696,0.0230545551701755,47.1180871051291,1.0948928186325,48.3394782024881,1.0199060349171,2389.01191870519,2.62892287563351,24.576747826087,0.115208576424679,"Double Cover"
"1762","UK","AL",2,85,2034.94198578412,4.62304584616192,3.92358064554696,0.0230545551701755,47.1180871051291,1.0948928186325,48.3394782024881,1.0199060349171,2389.01191870519,2.62892287563351,24.576747826087,0.115208576424679,"Double Cover"
"1763","UK","AL",2,92,2025.98744699655,5.39593353758168,3.95717806769756,0.0227794165150949,49.4004828354408,1.20891211363697,49.4713103195717,0.908205617426988,2382.6976139095,3.52073715844144,25.2296603448276,0.263659052203762,"Double Cover"
